title,organisationUnit,basePay,education,age
Driver,Management,62759,High School,26
Software Engineer,Operations,80355,College,28
Warehouse Associate,Administration,85306,College,25
Graphic Designer,Administration,41603,College,24
Data Scientist,Operations,55189,College,26
IT,Engineering,47036,College,26
Sales Associate,Management,80135,High School,32
Graphic Designer,Sales,75506,College,29
Marketing Associate,Engineering,34208,High School,24
Financial Analyst,Operations,66935,College,27
Software Engineer,Sales,55555,College,26
Sales Associate,Operations,90780,Masters,30
Software Engineer,Operations,89474,Masters,28
Driver,Administration,42722,High School,29
IT,Administration,69855,Masters,27
Software Engineer,Engineering,88482,Masters,33
Driver,Sales,71824,High School,42
Manager,Management,115567,Masters,35
Marketing Associate,Management,75294,Masters,29
IT,Sales,45747,College,26
Sales Associate,Administration,59334,College,28
Sales Associate,Engineering,64920,Masters,27
Software Engineer,Engineering,97523,PhD,34
Financial Analyst,Engineering,97328,PhD,36
Data Scientist,Administration,59212,College,25
Graphic Designer,Operations,78462,College,30
Driver,Operations,56318,High School,31
IT,Sales,56309,College,29
Financial Analyst,Sales,84007,College,31
IT,Administration,78986,College,33
Warehouse Associate,Sales,64844,College,36
IT,Engineering,78113,College,34
Driver,Sales,79291,College,38
Sales Associate,Management,90426,College,47
Data Scientist,Operations,58054,Masters,28
Warehouse Associate,Operations,37026,High School,22
Warehouse Associate,Sales,63928,High School,32
Driver,Operations,75919,High School,36
Graphic Designer,Sales,61000,Masters,34
Financial Analyst,Operations,60892,Masters,30
Warehouse Associate,Administration,78021,College,47
Software Engineer,Administration,88814,PhD,28
Manager,Sales,119162,Masters,51
Sales Associate,Management,94492,College,42
Data Scientist,Management,80171,PhD,32
Sales Associate,Management,75238,College,37
Graphic Designer,Sales,67585,College,35
Manager,Sales,107140,College,51
Marketing Associate,Sales,69254,College,34
Sales Associate,Operations,37898,College,24
Driver,Management,66203,High School,50
Financial Analyst,Management,76908,College,37
Marketing Associate,Administration,38613,College,25
Financial Analyst,Operations,65164,College,33
Data Scientist,Engineering,40056,College,27
Financial Analyst,Operations,62377,College,37
Driver,Sales,68175,College,41
Data Scientist,Operations,61589,Masters,29
Software Engineer,Sales,108080,Masters,46
Software Engineer,Management,66359,Masters,32
Marketing Associate,Administration,76286,College,41
Graphic Designer,Engineering,99543,Masters,45
Manager,Operations,100183,College,55
Graphic Designer,Operations,55569,Masters,29
IT,Operations,70890,Masters,34
Marketing Associate,Sales,60070,College,33
IT,Engineering,74073,PhD,31
Financial Analyst,Operations,78564,College,41
Manager,Operations,112854,College,56
Software Engineer,Engineering,92289,Masters,34
Financial Analyst,Engineering,105601,Masters,47
IT,Management,49622,College,29
Marketing Associate,Management,86886,College,42
Driver,Engineering,92458,College,56
Manager,Administration,121682,College,51
Sales Associate,Operations,85398,College,40
Manager,Management,114621,College,47
Sales Associate,Engineering,90386,College,39
Software Engineer,Management,91674,Masters,34
Manager,Engineering,103107,College,49
Driver,Sales,61018,High School,46
Software Engineer,Engineering,65313,College,36
Driver,Sales,77032,College,42
Financial Analyst,Operations,91978,Masters,45
Graphic Designer,Engineering,72301,College,38
Software Engineer,Engineering,132823,PhD,41
Data Scientist,Operations,70643,PhD,29
Warehouse Associate,Management,48755,College,27
Manager,Operations,89648,College,38
Driver,Management,89170,College,60
Data Scientist,Engineering,65816,Masters,28
Warehouse Associate,Sales,76865,College,35
Graphic Designer,Operations,56954,College,32
Manager,Management,103156,College,44
Software Engineer,Sales,67913,College,31
Data Scientist,Engineering,74523,College,34
IT,Sales,102120,Masters,33
Data Scientist,Management,50401,College,27
Sales Associate,Administration,57783,College,31
Warehouse Associate,Sales,91568,College,56
Graphic Designer,Sales,69734,College,30
Graphic Designer,Sales,72422,College,30
Sales Associate,Sales,70595,College,37
Driver,Administration,60026,High School,44
Warehouse Associate,Engineering,58219,College,38
Software Engineer,Management,81503,Masters,35
Software Engineer,Operations,88037,Masters,38
Graphic Designer,Administration,96045,Masters,41
Graphic Designer,Sales,57398,Masters,29
IT,Sales,37780,College,24
Graphic Designer,Operations,107025,College,57
Warehouse Associate,Sales,68300,College,40
Manager,Operations,90736,Masters,36
Graphic Designer,Administration,40187,College,26
Marketing Associate,Operations,36548,College,22
Warehouse Associate,Operations,114733,College,63
Financial Analyst,Administration,69320,Masters,28
Warehouse Associate,Management,81988,College,43
Manager,Sales,110594,College,44
Financial Analyst,Administration,101534,College,48
Marketing Associate,Sales,55885,College,35
Graphic Designer,Operations,50601,College,32
Sales Associate,Engineering,85928,College,41
Data Scientist,Sales,83894,PhD,31
Financial Analyst,Management,78084,College,40
Warehouse Associate,Administration,92516,High School,43
Marketing Associate,Sales,47739,College,30
Graphic Designer,Management,83031,Masters,37
Marketing Associate,Engineering,59251,College,36
Manager,Sales,103479,Masters,41
Data Scientist,Administration,62753,Masters,27
Software Engineer,Engineering,95754,Masters,35
Financial Analyst,Administration,88422,Masters,45
Marketing Associate,Administration,46263,College,31
Manager,Administration,90685,College,40
Marketing Associate,Administration,62054,College,39
IT,Administration,64468,College,33
Graphic Designer,Management,91504,College,55
