"id","Date","title","gender","organisationUnit","tenure","employmentStatus","basePay","bonus","education","age","perfEval","disability","raceEthnicity","veteran","dutyStation","supervisor"
2,2017-01-28,"CIO","M","Executive",5,"FT",2e+05,30000,"Masters",42,3,0,"white",1,NA,NA
3,2017-01-28,"COO","M","Executive",4,"FT",2e+05,30000,"College",48,2,1,"asian",0,NA,NA
4,2017-01-28,"CFO","M","Executive",3,"FT",178000,8000,"Masters",42,4,0,"african american",0,NA,NA
5,2017-01-28,"Director Public Affairs","F","Executive",5,"FT",180000,8000,"College",48,3,0,"white",1,NA,NA
6,2017-01-28,"Director HR","F","Executive",6,"FT",180000,8000,"PhD",40,4,0,"white",0,NA,NA
7,2017-01-28,"Director Mktg","M","Executive",2,"FT",170000,20000,"Masters",42,3,0,"white",0,NA,NA
8,2017-01-28,"IT Ops Mgr","M","IT",1,"FT",150000,4000,"College",48,4,0,"white",0,NA,NA
9,2017-01-28,"IT Services Mgr","M","IT",4,"FT",150000,4000,"Masters",42,3,0,"white",0,NA,NA
10,2017-01-28,"Call centre operations manager","M","Contact centre",2,"FT",120000,3500,"College",48,3,0,"white",0,NA,NA
11,2017-01-28,"Internal Ops Mgr","M","Operations",4,"FT",146000,3500,"Masters",42,4,0,"white",0,NA,NA
12,2017-01-28,"Accounting Mgr","F","Finance",4,"FT",141000,3000,"College",48,2,0,"white",0,NA,NA
13,2017-01-28,"Compliance Mgr","F","Finance",6,"FT",138000,2800,"College",48,4,0,"white",0,NA,NA
14,2017-01-28,"Legal Mgr","F","Operations",6,"PT",135000,2900,"College",48,3,0,"white",0,NA,NA
15,2017-01-28,"Org Devlt Mgr","F","Human resources",2,"FT",140000,3000,"College",48,4,0,"white",0,NA,NA
16,2017-01-28,"Sales Mgr","M","Sales",5,"FT",160000,10000,"Masters",42,5,0,"white",0,NA,NA
17,2017-01-28,"Bus Devlt Mgr","M","Operations",2,"FT",160000,7000,"College",48,4,1,"white",0,NA,NA
18,2017-01-28,"Marketing manager","F","Marketing",4,"PT",85000,2000,"College",38,5,0,"white",0,NA,NA
19,2017-01-28,"Senior project manager","F","Finance",3,"PT",91000,3000,"College",43,4,0,"white",0,NA,NA
20,2017-01-28,"Call Centre manager","F","Contact centre",3,"FT",85000,1500,"High School",44,5,1,"white",0,NA,NA
21,2017-01-28,"Audit manager","F","Finance",3,"FT",90000,2200,"Masters",33,5,1,"african american",0,NA,NA
22,2017-01-28,"Manager - internal training","F","Human resources",4,"FT",83000,1500,"High School",45,5,1,"white",0,NA,NA
23,2017-01-28,"Senior project manager","M","IT",1,"FT",92000,2300,"College",44,2,0,"white",0,NA,NA
24,2017-01-28,"Senior project manager","M","IT",3,"FT",102000,2200,"Masters",37,1,0,"white",0,NA,NA
25,2017-01-28,"Senior project manager","M","Operations",2,"FT",95000,2000,"College",42,3,0,"white",0,NA,NA
26,2017-01-28,"Senior account manager","M","Sales",1,"FT",90000,4500,"College",41,1,0,"white",0,NA,NA
27,2017-01-28,"Senior account manager","M","Sales",3,"FT",95000,3000,"High School",48,4,0,"white",0,NA,NA
